movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
Borg vs McEnroe,7500000,3257922,-56.56,"['Biography', 'Drama', 'Sport']",2018,4,tt5727282
The Bye Bye Man,7400000,31187727,321.46,"['Drama', 'Fantasy', 'Horror']",2017,1,tt4030600
3,7200000,295492,-95.9,"['Comedy', 'Drama', 'Romance']",2011,9,tt1517177
Jumping the Broom,7000000,38158601,445.12,"['Comedy', 'Drama']",2011,5,tt1640484
Gifted,7000000,36964656,428.07,['Documentary'],2017,4,tt3727750
Dope,7000000,18190831,159.87,"['Comedy', 'Crime', 'Drama']",2015,6,tt3850214
BrightBurn,7000000,27989498,299.85,"['Horror', 'Sci-Fi']",2019,5,tt7752126
Devil's Due,7000000,36146087,416.37,"['Horror', 'Mystery', 'Thriller']",2014,1,tt2752758
Beyond the Lights,7000000,14618727,108.84,"['Drama', 'Music', 'Romance']",2014,11,tt3125324
Cyrus,7000000,10062896,43.76,"['Crime', 'Horror', 'Mystery']",2010,6,tt1327709
Somewhere,7000000,17023121,143.19,"['Comedy', 'Drama']",2010,12,tt1421051
We Need to Talk About Kevin,7000000,10765283,53.79,"['Drama', 'Mystery', 'Thriller']",2012,1,tt1242460
The Christmas Candle,7000000,1933829,-72.37,"['Drama', 'Family']",2013,11,tt2739338
Freeheld,7000000,1732228,-75.25,"['Biography', 'Drama', 'Romance']",2015,10,tt1658801
Dom Hemingway,7000000,1857458,-73.46,"['Comedy', 'Crime', 'Drama']",2014,4,tt2402105
The Extra Man,7000000,492108,-92.97,['Comedy'],2010,7,tt1361313
Hesher,7000000,382946,-94.53,"['Comedy', 'Crime', 'Drama']",2011,5,tt1403177
House at the End of the Street,6900000,44103982,539.19,"['Drama', 'Horror', 'Thriller']",2012,9,tt1582507
Incendies,6800000,16038343,135.86,"['Drama', 'Mystery', 'War']",2010,9,tt1255953
Same Kind of Different as Me,6500000,6423605,-1.18,"['Biography', 'Drama']",2017,10,tt1230168
Shame,6500000,20412841,214.04,['Drama'],2011,12,tt1723811
The East,6500000,3027956,-53.42,"['Adventure', 'Drama', 'Thriller']",2013,5,tt1869716
Breaking In,6000000,51411620,756.86,"['Action', 'Crime', 'Drama']",2018,5,tt7137846
Unplanned,6000000,18107621,201.79,"['Biography', 'Drama']",2019,3,tt9024106
The Prodigy,6000000,19789712,229.83,"['Horror', 'Thriller']",2019,2,tt4504044
The Possession of Hannah Grace,6000000,42785387,613.09,"['Horror', 'Mystery', 'Thriller']",2018,11,tt5734576
The Words,6000000,16369708,172.83,"['Drama', 'Mystery', 'Romance']",2012,9,tt1840417
The Lady in the Van,6000000,42320503,605.34,"['Biography', 'Comedy', 'Drama']",2016,1,tt3722070
Bernie,6000000,10106975,68.45,"['Biography', 'Comedy', 'Crime']",2012,4,tt1704573
Casa de mi Padre,6000000,8446952,40.78,"['Comedy', 'Western']",2012,3,tt1702425
The Guard,6000000,21197454,253.29,"['Comedy', 'Crime', 'Thriller']",2011,7,tt1540133
